State 	ExpPrior[ Recombination rate ]	Coalescent	treeLikelihood	 num.patterns	 num.nodes	popSize	rec.rate	kappaR	kappaY	site.height	site.bps	total.bps	 mc.speed 
14650000	-4.7076	129.5971	-16272.4887341945	573	28	0.0034908	37.217325	0.909273	0.839181	0.011513368863879011	2	2	14970.06
14655000	-4.3888	131.5872	-16259.229609070513	593	29	0.00484772	29.248118	1.016597	0.578088	0.011333026513624748	3	3	14836.8
14660000	-9.7929	159.2158	-16265.350119703688	617	30	0.00335911	164.351345	1.162965	0.916482	0.012786534601391016	5	5	14970.06
14665000	-6.8443	126.0582	-16262.545566913332	574	28	0.00434167	90.636845	0.98121	1.184426	0.013809386628354965	2	2	15337.42
14670000	-4.7759	133.8221	-16260.977706170881	610	30	0.00364693	38.924445	1.048165	0.919394	0.010945673907936977	3	3	13774.1
14675000	-3.9776	119.296	-16274.666111524684	574	28	0.00442224	18.966997	1.492321	1.2053	0.012297763441971834	2	2	14925.37
14680000	-5.0345	134.4164	-16258.71291963696	609	30	0.00411263	45.390443	0.966177	0.667444	0.012950489563135773	2	3	14285.71
14685000	-6.1764	156.5261	-16271.95053624425	614	31	0.00334487	73.937442	1.197771	1.209599	0.010861534568510665	5	6	15015.02
14690000	-4.582	131.1001	-16262.2201689131	574	28	0.00525084	34.078368	1.088156	1.909562	0.011015577636126806	3	3	15060.24
14695000	-4.4597	137.4707	-16264.33645338921	575	28	0.002696997	31.021154	1.029973	1.706614	0.01204952280989565	3	3	14836.8
14700000	-4.8132	123.5568	-16258.016473280353	603	30	0.00510038	39.858743	1.263583	0.794042	0.011200540799976426	2	2	14749.26
14705000	-3.9341	125.7168	-16263.987931240279	581	28	0.00376352	17.881477	1.120996	0.541085	0.013092706461480422	2	2	14409.22
14710000	-5.0926	126.7009	-16266.050154124541	581	29	0.002480714	46.84313	1.167727	1.051001	0.011312191586837696	2	2	13698.63
14715000	-4.1175	136.0993	-16258.761119337143	588	29	0.002960366	22.46527	1.012542	1.316098	0.010199825019289717	3	3	14164.31
14720000	-4.4417	124.2185	-16261.438402642056	609	30	0.00455656	30.569876	0.85876	1.262369	0.01092403207214451	2	2	14705.88
14725000	-4.5954	128.7498	-16262.366816629048	575	28	0.00402331	34.413886	1.059993	0.762933	0.010734209944122145	2	2	15384.62
14730000	-4.8629	132.6	-16266.150126065379	618	33	0.00480661	41.100199	0.99675	0.618877	0.010645399897474778	3	3	15015.02
14735000	-5.1546	155.1484	-16259.867888361814	636	33	0.00390062	48.393015	0.969995	0.843138	0.012296930395868929	4	6	14925.37
14740000	-5.3134	157.068	-16272.911107060607	597	30	0.00338755	52.363704	0.976775	1.842328	0.009576268587788032	5	5	14970.06
14745000	-4.7682	125.194	-16262.558063935865	575	28	0.00392349	38.732675	0.998928	0.870241	0.013145996741006331	2	2	15197.57
14750000	-5.4643	138.167	-16260.572352901334	599	32	0.002637061	56.135086	1.049337	1.028105	0.010514586662100145	3	3	15197.57
14755000	-5.7362	127.8513	-16258.95347862489	576	28	0.00344989	62.933494	0.972981	0.93701	0.01181562851645122	2	2	14925.37
14760000	-4.7834	123.1411	-16267.536412957441	603	29	0.0039553	39.112455	0.969966	1.383875	0.01288019862666094	2	2	15243.9
14765000	-5.106	127.2422	-16255.17692053485	575	28	0.002756782	47.177001	1.321709	0.704798	0.012606364491363431	2	2	15105.74
14770000	-4.5403	145.4487	-16262.363608794158	584	31	0.00337884	33.034766	1.284095	0.915456	0.010985502728615771	3	4	14970.06
14775000	-4.7247	137.5685	-16259.386448744483	590	29	0.00345719	37.644527	1.035006	1.328866	0.012701510907751986	3	3	15243.9
14780000	-4.2391	134.9963	-16262.496272200446	598	30	0.00397607	25.504971	1.210497	1.123393	0.010909862071209366	3	3	15197.57
14785000	-9.5452	144.9762	-16258.416349594978	632	33	0.0040373	158.157264	1.135814	0.905032	0.011028156843568459	4	4	15060.24
14790000	-5.4859	127.5026	-16257.23380199069	593	29	0.002567598	56.67607	1.067591	1.173389	0.012224323343539782	2	2	15243.9
14795000	-6.7549	133.9086	-16268.667707229572	572	28	0.00579874	88.401714	1.040541	0.978535	0.010949506572376302	2	3	15243.9
14800000	-5.4834	124.0781	-16263.746353687951	578	29	0.003120338	56.613348	1.284956	0.659784	0.011473367350625617	2	2	15105.74
14805000	-3.8034	128.8768	-16260.953927755763	575	28	0.002594329	14.614293	1.198901	0.678883	0.011857185689935044	2	2	15151.52
14810000	-8.1338	124.8298	-16260.695483127121	595	29	0.00261166	122.872015	1.130143	1.322337	0.010526089445128207	2	2	15151.52
14815000	-7.0608	141.2655	-16271.381203694318	629	34	0.00331044	96.048857	1.021558	0.992363	0.009922477686247773	2	3	15015.02
14820000	-6.0842	131.1549	-16263.12785787243	579	28	0.003041943	71.633238	1.121515	1.312565	0.011395932794967095	2	2	14577.26
14825000	-4.0235	133.872	-16269.968417982158	574	28	0.00323758	20.116004	1.003756	0.729885	0.011485149336041773	3	3	15576.32
14830000	-4.4128	124.9615	-16271.542771473	630	34	0.003115316	29.849123	1.204228	1.244648	0.01038281918248049	2	2	14492.75
14835000	-5.1258	126.424	-16265.783899344282	589	29	0.00324784	47.673416	1.08292	0.964767	0.011159503087233132	2	2	14970.06
14840000	-5.6183	133.0893	-16256.222863831706	582	29	0.00372507	59.986018	0.957161	0.724274	0.012160462884436465	3	3	14705.88
14845000	-6.5702	156.3354	-16268.486076571102	614	30	0.00364557	83.783471	1.123392	1.60171	0.01265747031435296	3	5	15290.52
14850000	-4.1952	124.6285	-16263.460605682758	596	29	0.00400904	24.407298	1.143037	1.272164	0.011733565776376161	2	2	14880.95
14855000	-4.0846	133.784	-16268.123348279589	588	28	0.0041904	21.64347	1.18524	0.523389	0.011950038359208586	3	3	15197.57
14860000	-6.6511	143.1392	-16259.70426682333	580	29	0.00402786	85.804866	0.885574	1.345518	0.01251941379812001	3	4	14970.06
14865000	-6.4227	128.5707	-16263.251939357495	583	29	0.00376423	80.094967	1.241016	0.650397	0.011770541411222812	2	2	15197.57
14870000	-4.6001	128.0807	-16261.532300818315	575	28	0.00346619	34.52982	0.950346	0.923305	0.012581575214409653	2	2	15290.52
14875000	-7.5054	164.0019	-16270.368424932469	584	30	0.00409715	107.163557	0.903484	2.248376	0.011334938053880275	6	6	15151.52
14880000	-4.2516	126.5866	-16264.66910933773	573	28	0.0035779	25.818796	0.993077	1.719279	0.011082983101937066	2	2	14880.95
14885000	-4.2396	127.4354	-16262.509420975726	573	28	0.002987593	25.517235	1.129417	0.67093	0.011790018727684872	2	2	15243.9
14890000	-4.3873	129.5382	-16260.497881869567	580	30	0.00395341	29.210955	1.065403	2.191564	0.011413359757294314	3	3	14792.9
14895000	-4.8122	125.5461	-16264.642379692117	587	28	0.00337088	39.833874	1.167291	0.904611	0.011625355994253102	2	2	15060.24
14900000	-6.1547	154.9672	-16267.26879372208	637	36	0.002949431	73.395919	0.98769	0.872569	0.012026426256112959	5	5	15290.52
14905000	-4.0896	129.4124	-16274.499700910495	580	28	0.00423034	21.768046	0.912676	0.920269	0.011128095523021951	3	3	14492.75
14910000	-4.9598	128.2134	-16268.274037462066	584	28	0.00421731	43.52399	1.417814	1.217169	0.012668856908484108	2	2	15625.0
14915000	-5.5426	138.4771	-16274.20204917937	613	30	0.002925959	58.092864	1.281454	0.908705	0.012835110710340035	3	3	15432.1
