State 	Coalescent	popSize	constantRecRate	visible.height	visible.recombs	total.recombs	num.patterns	num.nodes	 mc.speed 
155000	-12.9407	1.0	0.2	0.0	0	1	0	0	121951.22
160000	-8.7125	1.0	0.2	0.0	0	0	0	0	125000.0
165000	-18.6362	1.0	0.2	0.0	0	3	0	0	131578.95
170000	-9.5554	1.0	0.2	0.0	0	0	0	0	121951.22
175000	-16.677	1.0	0.2	0.0	0	2	0	0	125000.0
180000	-15.6854	1.0	0.2	0.0	0	3	0	0	128205.13
185000	-12.2162	1.0	0.2	0.0	0	2	0	0	131578.95
190000	-9.269	1.0	0.2	0.0	0	1	0	0	138888.89
195000	-10.7478	1.0	0.2	0.0	0	1	0	0	131578.95
200000	-5.3322	1.0	0.2	0.0	0	0	0	0	131578.95
205000	-10.9006	1.0	0.2	0.0	0	0	0	0	138888.89
210000	-9.4015	1.0	0.2	0.0	0	0	0	0	142857.14
215000	-10.4561	1.0	0.2	0.0	0	1	0	0	135135.14
220000	-12.7245	1.0	0.2	0.0	0	1	0	0	131578.95
225000	-11.5689	1.0	0.2	0.0	0	1	0	0	135135.14
230000	-10.4965	1.0	0.2	0.0	0	0	0	0	147058.82
235000	-30.3545	1.0	0.2	0.0	0	4	0	0	135135.14
240000	-10.5977	1.0	0.2	0.0	0	1	0	0	138888.89
245000	-6.422	1.0	0.2	0.0	0	0	0	0	135135.14
250000	-10.4469	1.0	0.2	0.0	0	0	0	0	142857.14
255000	-10.7913	1.0	0.2	0.0	0	1	0	0	138888.89
260000	-20.5927	1.0	0.2	0.0	0	3	0	0	131578.95
265000	-11.1163	1.0	0.2	0.0	0	1	0	0	119047.62
270000	-8.8791	1.0	0.2	0.0	0	0	0	0	138888.89
275000	-15.1393	1.0	0.2	0.0	0	2	0	0	142857.14
280000	-6.0634	1.0	0.2	0.0	0	0	0	0	135135.14
285000	-8.548	1.0	0.2	0.0	0	0	0	0	138888.89
290000	-18.4	1.0	0.2	0.0	0	1	0	0	135135.14
295000	-8.5592	1.0	0.2	0.0	0	1	0	0	147058.82
300000	-9.8785	1.0	0.2	0.0	0	2	0	0	138888.89
305000	-11.1379	1.0	0.2	0.0	0	1	0	0	131578.95
310000	-7.8787	1.0	0.2	0.0	0	0	0	0	135135.14
315000	-9.7538	1.0	0.2	0.0	0	0	0	0	138888.89
320000	-9.4444	1.0	0.2	0.0	0	0	0	0	147058.82
325000	-15.4386	1.0	0.2	0.0	0	1	0	0	135135.14
330000	-8.3351	1.0	0.2	0.0	0	0	0	0	135135.14
335000	-11.4433	1.0	0.2	0.0	0	2	0	0	135135.14
340000	-27.236	1.0	0.2	0.0	0	4	0	0	138888.89
345000	-12.0733	1.0	0.2	0.0	0	1	0	0	131578.95
350000	-18.8886	1.0	0.2	0.0	0	3	0	0	138888.89
355000	-22.3085	1.0	0.2	0.0	0	4	0	0	131578.95
360000	-12.6101	1.0	0.2	0.0	0	1	0	0	131578.95
365000	-13.4275	1.0	0.2	0.0	0	2	0	0	142857.14
370000	-7.6152	1.0	0.2	0.0	0	0	0	0	131578.95
375000	-8.1957	1.0	0.2	0.0	0	0	0	0	135135.14
380000	-24.9172	1.0	0.2	0.0	0	2	0	0	138888.89
385000	-15.2573	1.0	0.2	0.0	0	1	0	0	142857.14
390000	-12.4551	1.0	0.2	0.0	0	2	0	0	131578.95
395000	-45.663	1.0	0.2	0.0	0	6	0	0	135135.14
400000	-21.9189	1.0	0.2	0.0	0	5	0	0	131578.95
405000	-10.4639	1.0	0.2	0.0	0	1	0	0	128205.13
410000	-7.2906	1.0	0.2	0.0	0	0	0	0	147058.82
415000	-3.5286	1.0	0.2	0.0	0	0	0	0	138888.89
420000	-14.2773	1.0	0.2	0.0	0	2	0	0	138888.89
425000	-18.7909	1.0	0.2	0.0	0	3	0	0	135135.14
430000	-8.8423	1.0	0.2	0.0	0	0	0	0	138888.89
435000	-10.751	1.0	0.2	0.0	0	1	0	0	147058.82
440000	-14.5773	1.0	0.2	0.0	0	1	0	0	131578.95
445000	-21.2319	1.0	0.2	0.0	0	5	0	0	138888.89
450000	-5.3454	1.0	0.2	0.0	0	0	0	0	131578.95
