State 	ExpPrior[ RecRate ]	Coalescent	dataLikelihood	popSize	RecRate	a.freq	c.freq	g.freq	t.freq 	KappaR	KappaY	root.height	visible.height	visible.recombs	total.recombs	num.patterns	num.nodes	 mc.speed 
385000	-5.7267	142.1456	-16254.662095161639	0.00397442	62.694484	0.2523606861363349	0.2547078260068221	0.25162009765968474	0.2413113901971582	1.043058	0.678225	0.017286050448049865	0.017286050448049865	4	4	1979	30	17985.61
390000	-5.7621	128.9911	-16259.910224203835	0.00356122	63.580108	0.2547847263314525	0.2449380150916462	0.25445611093950654	0.24582114763739457	1.191388	1.295382	0.011400391639004857	0.011400391639004857	2	2	1510	29	17793.59
395000	-7.1168	125.8506	-16265.644407879978	0.00393121	97.447951	0.2611532754541671	0.2536812534674576	0.24481296234895472	0.24035250872942052	0.969326	0.824895	0.011269389205117903	0.011269389205117903	2	2	1522	28	17301.04
400000	-6.0005	142.6969	-16260.931941158939	0.00371765	69.539453	0.25595737200350593	0.24142704869335685	0.25338182125450986	0.24923375804862752	0.952262	1.608382	0.011424657290533963	0.011424657290533963	4	4	2474	31	17793.59
405000	-4.1017	127.2552	-16264.980783859754	0.00413678	22.070077	0.25558655221510185	0.2524768432969127	0.24548290097147812	0.24645370351650728	0.924856	1.569029	0.012176968441053617	0.012176968441053617	2	2	1507	28	17857.14
410000	-7.1081	142.7043	-16267.890577316773	0.00412272	97.230307	0.25301828150671	0.24808797351604597	0.25088861273912133	0.2480051322381228	0.996992	0.765152	0.012785823053632944	0.012785823053632944	3	4	1493	29	17241.38
415000	-4.6236	128.2702	-16263.589316849339	0.00334082	35.118764	0.2539621345574774	0.2589248878652936	0.2502305999000002	0.23688237767722878	1.146205	0.59602	0.011910725947124386	0.011910725947124386	2	2	1508	29	17730.5
420000	-7.1262	132.5327	-16261.137942229987	0.0042405	97.683625	0.25131216355721325	0.25274283194631875	0.25446204901473485	0.24148295548173315	0.977139	1.217604	0.012917595672699152	0.012073300567338257	3	3	1506	30	17301.04
425000	-5.4783	131.5847	-16262.664236634806	0.00548142	56.486048	0.2518823581582682	0.24585605408829483	0.25819298961759074	0.24406859813584614	1.061071	1.211724	0.01129272587848771	0.01129272587848771	3	3	1988	29	17543.86
430000	-3.9712	124.0271	-16257.027086485483	0.00384834	18.807281	0.2513912693386564	0.25535665287031484	0.24950315865779066	0.2437489191332381	0.934345	1.076359	0.012542439716769724	0.012542439716769724	2	2	1509	29	17985.61
435000	-9.5633	135.0524	-16267.438047378133	0.00323832	158.611071	0.2532831926959148	0.25753293731565824	0.24712634977550413	0.2420575202129229	1.262954	0.959352	0.011425555009327832	0.011425555009327832	3	3	1508	28	17985.61
440000	-6.4568	171.8324	-16260.380591493127	0.002951178	80.947549	0.2535996012381837	0.24724521417976192	0.25179569776672894	0.24735948681532546	1.048759	1.133938	0.012186541515792623	0.012186541515792623	6	7	2345	35	17361.11
445000	-5.0408	133.0514	-16260.160072465736	0.00304007	45.548632	0.24894143641289287	0.2545248205308362	0.25409325470968314	0.2424404883465878	1.182086	0.891531	0.012147278671849981	0.012147278671849981	3	3	1805	33	17361.11
450000	-3.8841	127.4998	-16270.17361278346	0.002479958	16.631215	0.25595464180367056	0.25573741668799715	0.24561536980204365	0.24269257170628858	0.97022	1.373268	0.011823000029711504	0.011823000029711504	2	2	1519	30	18248.18
