State 	ExpPrior[ constantRecRate ]	Coalescent	dataLikelihood	popSize	constantRecRate	a.freq	c.freq	g.freq	t.freq 	kappaY	root.height	visible.height	visible.recombs	total.recombs	num.patterns	num.nodes	 mc.speed 
11090000	-6.6214	355.2133	-20148.9967665625	0.01306847	85.063586	0.10014739223509751	0.19706057457774162	0.3086437823545357	0.3941482508326253	4.043602	0.05824405685969417	0.03967756280372234	15	27	14531	96	6830.6
11095000	-6.3544	291.6143	-20155.111049894156	0.01138278	78.388829	0.09948018238180276	0.20240998093055934	0.30658751141078827	0.3915223252768497	4.427796	0.05323912691533253	0.05323912691533253	14	18	12442	99	6313.13
11100000	-6.371	376.601	-20146.952836795088	0.01672351	78.802175	0.0986687403100136	0.20076689769377487	0.30495766553299297	0.3956066964632186	4.433888	0.049176349949008595	0.049176349949008595	19	31	18620	102	5793.74
11105000	-7.3079	281.8157	-20154.081137659112	0.01533827	102.226477	0.09738754133270441	0.2030090243727034	0.3071503296419007	0.3924531046526915	4.087545	0.04511234643177987	0.04511234643177987	12	18	13860	98	5624.3
11110000	-6.428	254.7987	-20148.54984325137	0.01331158	80.226957	0.10807483521027815	0.19403595846068086	0.3071423195419824	0.3907468867870585	4.087545	0.044227952666080074	0.041699270835552346	11	13	9631	98	5411.26
11115000	-6.0586	286.5243	-20152.4715785501	0.01131613	70.992323	0.10538574379337638	0.19871824142344394	0.3087541123153447	0.3871419024678348	4.00894	0.042795758005522606	0.042795758005522606	11	16	10062	97	5144.03
11120000	-5.6907	312.0903	-20152.59871630829	0.01099172	61.794865	0.10090744342646633	0.19673513764475745	0.3045686329329175	0.3977887859958587	4.43038	0.05641289080820656	0.03743883765054056	16	21	9823	95	5675.37
11125000	-5.2167	267.8952	-20139.57346468315	0.01511567	49.945487	0.09702174424754462	0.20094113448903547	0.29932976942055695	0.4027073518428631	3.987222	0.05061118266624329	0.05061118266624329	12	15	12311	99	5537.1
11130000	-5.3756	248.0065	-20150.68516620049	0.0103195	53.917066	0.09591766834574776	0.19865448971687988	0.3073031688135364	0.3981246731238358	4.683353	0.04649993080440593	0.04649993080440593	11	12	12441	98	5285.41
11135000	-7.2974	327.244	-20142.852951819816	0.01168931	101.962864	0.10556048777043918	0.20080932615544114	0.3024113542451372	0.3912188318289826	4.210515	0.04586942550442474	0.04586942550442474	15	22	11560	95	5910.17
