State 	ExpPrior[ constantRecRate ]	Coalescent	dataLikelihood		baseSize	growthRate	constantRecRate	a.freq	c.freq	g.freq	t.freq 	kappaY	visible.height	visible.recombs	total.recombs	num.patterns	num.nodes	 mc.speed 
1030000	-7.7363	194.8447	-85219.38997884213		0.00862223	124.840787	112.93583	0.2516536616119734	0.25302482663655024	0.24759094225438263	0.24773056949709388	1.971416	0.01643671766185497	11	11	7817	67	5364.81
1035000	-8.7116	248.0112	-85222.62615411945		0.00449628	-56.615592	137.318265	0.2516536616119734	0.25302482663655024	0.24759094225438263	0.24773056949709388	1.836405	0.018426623278126438	14	17	10268	80	5543.24
1040000	-8.8965	240.7278	-85215.03950712873		0.00545068	-17.868446	141.941844	0.2501738349394974	0.2574173468094734	0.2461350060368662	0.246273812214163	1.950015	0.02200004589794438	13	16	10807	78	5313.5
1045000	-10.9934	359.3733	-85220.5956467234		0.00404999	-27.346425	194.362946	0.2501738349394974	0.2574173468094734	0.2461350060368662	0.246273812214163	1.900031	0.01650080057168048	18	29	9418	81	5889.28
1050000	-10.4609	331.7518	-85214.64451696363		0.0033733	24.579385	181.050375	0.25270988500455477	0.25581802695316314	0.24612619633823582	0.2453458917040462	1.951463	0.016909541550803785	14	26	8916	77	5681.82
1055000	-7.2229	258.2587	-85223.86665300032		0.00442399	-30.230505	100.099928	0.2523060310689107	0.25540920591716815	0.24733095689828397	0.2449538061156372	1.980252	0.016872667530185678	14	19	9167	69	5793.74
1060000	-14.1452	318.2758	-85214.93713954193		0.00393109	61.290073	273.158693	0.2523060310689107	0.25540920591716815	0.24733095689828397	0.2449538061156372	1.972497	0.015242513240909684	15	23	8592	76	6045.95
1065000	-11.3233	217.3534	-85222.0823629796		0.00514263	-2.135399	202.611313	0.2523060310689107	0.25540920591716815	0.24733095689828397	0.2449538061156372	1.840864	0.015724163522099502	12	13	8312	70	5555.56
1070000	-7.1184	227.5971	-85232.52393559377		0.00458226	-17.864088	97.487396	0.25382162780840306	0.2553776055162743	0.2465853757590019	0.24421539091632072	1.987105	0.016371042877124233	13	14	8324	68	5446.62
1075000	-8.6557	234.2743	-85220.92514452977		0.0053364	56.94343	135.921555	0.252146356191686	0.25369206414708284	0.25155805734846537	0.2426035223127658	1.878183	0.016613952300374255	12	15	7766	67	5605.38
1080000	-11.3077	283.5818	-85221.7239314112		0.0044852	33.01066	202.221574	0.2506053849570586	0.2521416464483765	0.2500206814527057	0.24723228714185916	1.876347	0.01880340659684778	17	20	8296	67	5624.3
1085000	-12.5273	372.5158	-85220.07589222083		0.00396329	3.523796	232.711118	0.2503053588023585	0.2546291259008535	0.2489208216254192	0.2461446936713689	1.846256	0.016746168158971397	21	28	7591	68	6345.18
1090000	-9.6346	318.8388	-85214.10444056278		0.00419896	-3.743331	160.392727	0.24969319951759675	0.25645204213146866	0.24831204843391577	0.24554270991701893	1.908321	0.016798260315080762	19	24	9704	72	6002.4
1095000	-11.0992	347.9804	-85217.18663544921		0.00690353	-18.91413	197.007232	0.25146452168458716	0.25856181374196346	0.24636061974004322	0.24361304483340612	2.028804	0.016492449370010275	16	28	9491	71	6172.84
1100000	-8.5503	245.4769	-85221.2236512106		0.0054931	-18.378157	133.285683	0.24872832094241173	0.2557483869336029	0.24740745477320927	0.24811583735077597	1.831128	0.018863209322436965	14	17	9656	70	5733.94
1105000	-10.2058	332.3788	-85229.55192799387		0.00501002	-2.283931	174.672404	0.24872832094241173	0.2557483869336029	0.24740745477320927	0.24811583735077597	2.018194	0.02053221366280359	16	26	8765	72	6544.5
1110000	-10.3398	256.9758	-85220.3468898492		0.00361229	-52.361343	178.023365	0.2510962680864046	0.2549422888477815	0.24662764662621825	0.2473337964395957	1.829852	0.016848717034490084	12	18	7747	66	5938.24
