State 	Coalescent	pop.size.prior	 sum 	pop.size.changepoints	 mc.speed 
4264000	313.2085	-89.65897293070684	-89.65897293070684	10	37037.04
4265000	313.2128	-90.10395717687783	-90.10395717687783	10	37037.04
4266000	313.3503	-89.24273594120183	-89.24273594120183	10	29411.76
4267000	312.7312	-88.77541281652208	-88.77541281652208	10	35714.29
4268000	312.4158	-88.34279570205176	-88.34279570205176	10	37037.04
4269000	312.8181	-88.2931346162039	-88.2931346162039	10	35714.29
4270000	313.2616	-88.57350092634191	-88.57350092634191	10	33333.33
4271000	311.6543	-88.90966055401672	-88.90966055401672	10	34482.76
4272000	312.642	-89.21832387190504	-89.21832387190504	10	30303.03
4273000	313.0533	-89.51442518669835	-89.51442518669835	10	34482.76
4274000	312.1898	-88.44503453887512	-88.44503453887512	10	33333.33
4275000	312.9779	-88.98536823204773	-88.98536823204773	10	35714.29
4276000	313.0631	-88.87118706730476	-88.87118706730476	10	35714.29
4277000	313.0481	-89.5180882824529	-89.5180882824529	10	37037.04
4278000	313.0237	-89.58904455729468	-89.58904455729468	10	34482.76
4279000	312.9069	-89.82253565134909	-89.82253565134909	10	35714.29
4280000	312.6032	-89.19477255210121	-89.19477255210121	10	34482.76
4281000	312.6115	-88.75490223192347	-88.75490223192347	10	37037.04
4282000	312.1457	-89.93105384141467	-89.93105384141467	10	34482.76
4283000	312.7887	-89.6198271189532	-89.6198271189532	10	37037.04
4284000	312.1787	-90.43177769134064	-90.43177769134064	10	37037.04
4285000	313.3676	-89.74958056053421	-89.74958056053421	10	37037.04
4286000	312.8544	-89.56843767943423	-89.56843767943423	10	33333.33
4287000	313.4037	-91.02279974249808	-91.02279974249808	10	34482.76
4288000	313.1143	-90.9819990186463	-90.9819990186463	10	37037.04
4289000	312.9132	-91.0446981542304	-91.0446981542304	10	37037.04
4290000	312.673	-90.7129461871894	-90.7129461871894	10	34482.76
4291000	313.1243	-90.61552767221096	-90.61552767221096	10	35714.29
4292000	312.7074	-89.47294816674048	-89.47294816674048	10	33333.33
4293000	313.0538	-89.60854853340703	-89.60854853340703	10	35714.29
4294000	313.1641	-90.31626824197409	-90.31626824197409	10	33333.33
4295000	313.2224	-91.28404050088363	-91.28404050088363	10	37037.04
4296000	313.0911	-89.9209596499959	-89.9209596499959	10	35714.29
4297000	313.2466	-89.57276640923784	-89.57276640923784	10	37037.04
