State 	ExpPrior[ RecRate ]	Coalescent	dataLikelihood	popSize	RecRate	a.freq	c.freq	g.freq	t.freq 	KappaR	KappaY	root.height	visible.height	visible.recombs	total.recombs	num.patterns	num.nodes	 mc.speed 
55000	-9.3271	179.3007	-69035.32210227693	0.000605705	152.706736	0.3175363046436563	0.18193332961874595	0.18535993190718839	0.31517043383040944	2.419468	1.217274	0.002918431952307473	0.002918431952307473	5	5	10345	33	2870.26
60000	-14.4522	212.5684	-69025.58410956891	0.000521766	280.832495	0.31658671032288915	0.1822387315600523	0.187957664160745	0.31321689395631364	1.944408	0.899455	0.0027143729122851507	0.0027143729122851507	8	8	10812	45	2804.26
65000	-6.607	215.7181	-69019.9705059579	0.000717428	84.702131	0.31902332240748876	0.18316247826423046	0.18641600034554667	0.311398198982734	2.0274	0.912339	0.004756299109549916	0.003308110778862419	8	9	13628	40	2878.53
70000	-9.9088	206.8487	-69019.89947089386	0.000732983	167.247133	0.3153467252257685	0.18313467613964976	0.18367977975306407	0.31783881888151766	2.029499	0.740673	0.0035664928001535754	0.0035664928001535754	7	8	13789	34	2953.34
75000	-8.2018	197.2484	-69025.57289529899	0.000511437	124.572539	0.3128044627013716	0.1850054774811155	0.18716323230402007	0.3150268275134928	1.722475	0.742611	0.00365837559005251	0.00365837559005251	7	7	15183	34	2868.62
80000	-8.1951	215.6842	-69017.013706516	0.000955704	124.405967	0.3174136156031644	0.1865651890554709	0.18173862556741313	0.31428256977395164	1.893871	0.85279	0.003775235256642021	0.003775235256642021	8	9	14366	42	2953.34
85000	-12.7049	196.9952	-69021.0661458526	0.000667151	237.150396	0.31683384615031873	0.18190499551337772	0.1847477713455766	0.31651338699072706	2.006324	0.87325	0.004000097378269624	0.004000097378269624	7	7	11135	38	2960.33
90000	-9.8012	193.0913	-69020.86661532313	0.000871871	164.557796	0.3146574795584143	0.1836946786732792	0.18526906347026725	0.31637877829803934	1.759076	1.103882	0.00341533767355753	0.00341533767355753	7	7	14009	37	2955.08
95000	-11.7484	224.3685	-69007.56643697376	0.000530677	213.238941	0.32052024773640747	0.1817446193731577	0.18590481296095074	0.31183031992948407	2.02397	1.132027	0.0030634882952103107	0.0030634882952103107	8	9	12544	44	2932.55
100000	-10.2542	221.5332	-69019.75659901882	0.000726282	175.882713	0.31536072447292807	0.18558176251273295	0.18157354221157665	0.3174839708027623	2.168286	0.773933	0.0035722008460866584	0.0035722008460866584	8	9	14296	42	2832.86
