State 	ExpPrior[ RecRate ]	GammaPrior[alpha]	Coalescent	dataLikelihood	popSize	RecRate	a.freq	c.freq	g.freq	t.freq 	alpha	kappaY	root.height	visible.height	visible.recombs	total.recombs	num.patterns	num.nodes	 mc.speed 
240000	-6.8701	-3.8354	155.1874	-14651.288572632522	0.001169683	91.281815	0.2521161003499965	0.246062556659307	0.2511607209349407	0.25066062205575584	4.375187	1.879898	0.0029077448183778324	0.0029077448183778324	5	5	1329	46	3912.36
245000	-8.2558	-1.9684	154.3923	-14647.311423196728	0.001270575	125.922699	0.25103704162810686	0.24295301021721352	0.25735295342341113	0.24865699473126837	1.086411	1.686009	0.002910807993004721	0.002910807993004721	5	5	1367	40	3949.45
250000	-6.0189	-1.2608	144.543	-14650.513901251712	0.001804943	70.001009	0.25070550406824577	0.24263214901025407	0.2570130746164921	0.2496492723050081	0.51215	1.677777	0.0029168729665828516	0.0029168729665828516	4	4	1179	37	3921.57
255000	-9.7704	1.1781	180.3871	-14651.465240660054	0.001306148	163.787541	0.25985706368058886	0.23786350010211	0.2519617855657699	0.2503176506515312	0.02332863	1.816782	0.004086987453577728	0.004086987453577728	6	7	1587	42	3955.7
260000	-8.7559	-0.6215	186.9415	-14649.941336350717	0.001225309	138.425393	0.25985706368058886	0.23786350010211	0.2519617855657699	0.2503176506515312	0.2391841	1.757115	0.0029877287695422973	0.0029877287695422973	8	8	1973	48	3875.97
265000	-7.4919	-2.9936	161.2322	-14646.624546932173	0.002032069	106.826326	0.25101341633871527	0.2500752538405383	0.2571126741676713	0.24179865565307496	2.585944	2.859284	0.0031747597243346496	0.0031747597243346496	6	6	1471	52	3897.12
270000	-11.026	-2.507	169.4741	-14650.221599424429	0.001402382	195.177674	0.2495440894349823	0.24760863955826515	0.2550546469101656	0.2477926240965869	1.772425	1.628225	0.002950327144807767	0.002950327144807767	6	6	1498	50	3852.08
275000	-6.7757	-1.705	165.1701	-14648.994022668998	0.00179025	88.921746	0.2485631829148215	0.24421738788477448	0.2515614146073318	0.25565801459307214	0.832292	3.784346	0.003785806028116089	0.003785806028116089	6	6	1512	46	4139.07
280000	-9.0674	-1.4066	168.2846	-14647.291877934793	0.001243455	146.212662	0.24704295283957567	0.24268893241155365	0.25621015777275213	0.25405795697611855	0.603416	3.581559	0.003596211794440677	0.003596211794440677	6	6	1514	48	3855.05
285000	-4.711	-4.1738	154.7936	-14648.373118657273	0.001116033	37.303396	0.2542670281036058	0.24562906913739566	0.2511066165514032	0.24899728620759526	5.206823	3.11816	0.002735390555499073	0.002735390555499073	5	5	1362	43	4091.65
