State 	ExpPrior[ RecRate ]	Coalescent	dataLikelihood	popSize	RecRate	Kappa	root.height	visible.height	visible.recombs	total.recombs	num.patterns	num.nodes	 mc.speed 
649000	-6.0208	85.5151	-4001.1795062537435	0.0437312	70.04834	2.303397	0.04129242319812473	0.04129242319812473	6	11	676	20	30303.03
650000	-5.0804	100.6803	-4000.4027082677726	0.02128634	46.537164	2.20246	0.045582571258414174	0.045582571258414174	7	12	821	18	29411.76
651000	-4.1703	32.112	-4004.9580176092322	0.0355369	23.785074	1.905621	0.04798958912200839	0.04798958912200839	2	2	574	15	29411.76
652000	-3.8728	47.311	-4004.28261575143	0.02603229	16.348215	1.936129	0.03834033748351083	0.03834033748351083	3	4	571	15	27777.78
653000	-4.257	48.3442	-4003.4776450527615	0.0454459	25.953	2.862343	0.03977670821441092	0.03977670821441092	5	5	648	19	31250.0
654000	-4.2004	33.4499	-4002.3796977598176	0.02986721	24.538107	2.322949	0.0392298025245024	0.0392298025245024	2	2	537	16	27027.03
655000	-3.6343	32.5705	-3998.6784568697367	0.02968874	10.38605	2.25512	0.041574716687067234	0.041574716687067234	2	2	537	16	28571.43
656000	-4.5382	52.173	-4008.7762356571598	0.02492549	32.983566	1.656007	0.03798952480257411	0.03798952480257411	4	5	778	20	28571.43
657000	-3.9658	70.7064	-4000.128384757723	0.01863433	18.672474	1.794408	0.06399112665759873	0.06252678113389613	5	8	829	18	31250.0
658000	-3.9157	66.0914	-4001.9558324044424	0.0441866	17.421057	1.697883	0.07420590154079244	0.04458232976225202	3	9	676	18	29411.76
659000	-4.1617	68.598	-4005.425805196095	0.02515247	23.570824	1.753695	0.04269013171153504	0.04269013171153504	5	8	806	19	35714.29
660000	-4.7594	70.808	-4002.253756952794	0.01992397	38.513284	2.849212	0.043110334770858	0.043110334770858	4	8	679	17	30303.03
661000	-3.4213	28.1084	-4004.249298202743	0.0697997	5.061469	2.923063	0.04311725831828687	0.04311725831828687	2	2	540	16	28571.43
662000	-3.8518	38.6443	-4001.6812721311753	0.02902653	15.822223	1.874699	0.0428997752828767	0.0428997752828767	2	3	540	16	29411.76
